Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
271,Ron Lalonde,1975,1979,5,291,35,58,93,-107,90,26,6,3,1,50,4,4,298,11.7,,
272,Mike Lalor,1991,1992,2,132,6,12,18,-9,125,6,0,0,1,12,0,0,103,5.8,,
273,Mike Lampman,1976,1977,2,49,13,17,30,-10,32,12,1,0,1,16,1,0,102,12.7,,
274,Gord Lane,1976,1980,5,235,10,43,53,-64,614,9,1,0,0,41,0,2,214,4.7,,
275,Robert Lang,2003,2004,2,145,51,92,143,14,46,31,20,0,4,49,43,0,295,17.3,2911,20:05
276,Rod Langway*,1983,1993,11,726,25,177,202,116,504,20,3,2,5,152,18,7,773,3.2,,
277,Tyler Larter,1990,1990,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,,
278,Michael Latta,2014,2016,3,113,4,13,17,4,130,4,0,0,0,13,0,0,59,6.8,923,8:10
279,Craig Laughlin,1983,1988,6,428,110,173,283,17,284,69,41,0,19,113,60,0,611,18,,
280,Stephen Leach,1986,1991,6,246,43,54,97,-5,320,35,8,0,4,47,6,1,427,10.1,,
281,Peter LeBlanc,2014,2014,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,9:26
282,Grant Ledyard,1988,1989,2,82,7,14,21,-3,57,5,2,0,2,8,6,0,122,5.7,,
283,Patrice Lefebvre,1999,1999,1,3,0,0,0,-2,2,0,0,0,0,0,0,0,2,0,34,11:11
284,Antero Lehtonen,1980,1980,1,65,9,12,21,-3,14,7,2,0,1,11,1,0,101,8.9,,
285,Mikko Leinonen,1985,1985,1,3,0,1,1,1,2,0,0,0,0,1,0,0,5,0,,
286,Brendan Leipsic,2020,2020,1,61,3,8,11,3,13,3,0,0,1,7,1,0,49,6.1,559,9:10
287,Jean Lemieux,1976,1978,3,64,13,25,38,-43,4,3,10,0,1,10,15,0,108,12,,
288,Sami Lepisto,2008,2009,2,14,0,5,5,-4,18,0,0,0,0,2,3,0,15,0,230,16:27
289,Curtis Leschyshyn,1997,1997,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,,
290,Bill Lesuk,1975,1975,1,79,8,11,19,-33,77,5,1,2,0,8,2,1,119,6.7,,
291,Tyler Lewington,2019,2020,2,8,1,1,2,1,24,1,0,0,0,1,0,0,5,20,89,11:04
292,Trevor Linden,2001,2002,2,28,4,3,7,0,14,3,1,0,0,2,1,0,49,8.2,474,16:56
293,Mark Lofthouse,1978,1981,4,141,31,30,61,-25,42,29,2,0,1,25,5,0,237,13.1,,
294,Ken Lovsin,1991,1991,1,1,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,,
295,Dwayne Lowdermilk,1981,1981,1,2,0,1,1,-1,2,0,0,0,0,1,0,0,2,0,,
296,Joe Lundrigan,1975,1975,1,3,0,0,0,-3,2,0,0,0,0,0,0,0,2,0,,
297,Jack Lynch,1975,1979,5,233,18,57,75,-133,202,12,6,0,1,35,21,1,386,4.7,,
298,Paul MacDermid,1992,1993,2,87,11,13,24,-11,123,10,1,0,3,13,0,0,66,16.7,,
299,Paul MacKinnon,1980,1984,5,147,5,23,28,-9,91,4,1,0,0,22,1,0,116,4.3,,
300,Philippe Maillet,2021,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,8:02
301,Ivan Majesky,2006,2006,1,57,1,8,9,-2,66,0,0,1,0,7,0,1,35,2.9,987,17:19
302,Beck Malenstyn,2020,2020,1,3,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,28,9:16
303,Stewart Malgunas,1996,1999,4,25,0,0,0,-2,20,0,0,0,0,0,0,0,10,0,90,9:02
304,Steve Maltais,1990,1991,2,15,0,0,0,-3,4,0,0,0,0,0,0,0,14,0,,
305,Jason Marshall,2001,2001,1,5,0,0,0,-1,17,0,0,0,0,0,0,0,5,0,59,11:48
306,Mike Marson,1975,1979,5,193,24,24,48,-86,228,19,5,0,2,19,5,0,162,14.8,,
307,Grant Martin,1986,1987,2,20,0,1,1,-6,10,0,0,0,0,1,0,0,10,0,,
308,Dennis Maruk,1979,1983,5,343,182,249,431,-49,365,120,55,7,11,156,92,1,942,19.3,,
309,Jim Mathieson,1990,1990,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,,,
310,Alan May,1990,1994,5,345,27,42,69,-19,1189,26,1,0,4,40,2,0,284,9.5,,
311,Gary McAdam,1984,1984,1,24,1,5,6,0,12,1,0,0,1,5,0,0,23,4.3,,
312,Mike McEwen,1985,1985,1,56,11,27,38,23,42,7,4,0,3,10,17,0,151,7.3,,
313,Jim McGeough,1982,1985,2,15,3,0,3,-1,12,3,0,0,0,0,0,0,29,10.3,,
314,Walt McKechnie,1978,1978,1,16,4,1,5,-14,0,3,1,0,0,1,0,0,24,16.7,,
315,Jim McKenzie,2000,2000,1,30,1,2,3,0,16,1,0,0,0,2,0,0,10,10,191,6:22
316,Don McLean,1976,1976,1,9,0,0,0,-3,6,0,0,0,0,0,0,0,4,0,,
